municipality_code,municipality_name,municipality_name_short,county_code,county_name,county_name_short
0114,Upplands Väsby kommun,Upplands Väsby,01,Stockholms län,Stockholm
0115,Vallentuna kommun,Vallentuna,01,Stockholms län,Stockholm
0117,Österåkers kommun,Österåker,01,Stockholms län,Stockholm
0120,Värmdö kommun,Värmdö,01,Stockholms län,Stockholm
0123,Järfälla kommun,Järfälla,01,Stockholms län,Stockholm
0125,Ekerö kommun,Ekerö,01,Stockholms län,Stockholm
0126,Huddinge kommun,Huddinge,01,Stockholms län,Stockholm
0127,Botkyrka kommun,Botkyrka,01,Stockholms län,Stockholm
0128,Salems kommun,Salem,01,Stockholms län,Stockholm
0136,Haninge kommun,Haninge,01,Stockholms län,Stockholm
0138,Tyresö kommun,Tyresö,01,Stockholms län,Stockholm
0139,Upplands-Bro kommun,Upplands-Bro,01,Stockholms län,Stockholm
0140,Nykvarns kommun,Nykvarn,01,Stockholms län,Stockholm
0160,Täby kommun,Täby,01,Stockholms län,Stockholm
0162,Danderyds kommun,Danderyd,01,Stockholms län,Stockholm
0163,Sollentuna kommun,Sollentuna,01,Stockholms län,Stockholm
0180,Stockholms kommun,Stockholm,01,Stockholms län,Stockholm
0181,Södertälje kommun,Södertälje,01,Stockholms län,Stockholm
0182,Nacka kommun,Nacka,01,Stockholms län,Stockholm
0183,Sundbybergs kommun,Sundbyberg,01,Stockholms län,Stockholm
0184,Solna kommun,Solna,01,Stockholms län,Stockholm
0186,Lidingö kommun,Lidingö,01,Stockholms län,Stockholm
0187,Vaxholms kommun,Vaxholm,01,Stockholms län,Stockholm
0188,Norrtälje kommun,Norrtälje,01,Stockholms län,Stockholm
0191,Sigtuna kommun,Sigtuna,01,Stockholms län,Stockholm
0192,Nynäshamns kommun,Nynäshamn,01,Stockholms län,Stockholm
0305,Håbo kommun,Håbo,03,Uppsala län,Uppsala
0319,Älvkarleby kommun,Älvkarleby,03,Uppsala län,Uppsala
0330,Knivsta kommun,Knivsta,03,Uppsala län,Uppsala
0331,Heby kommun,Heby,03,Uppsala län,Uppsala
0360,Tierps kommun,Tierp,03,Uppsala län,Uppsala
0380,Uppsala kommun,Uppsala,03,Uppsala län,Uppsala
0381,Enköpings kommun,Enköping,03,Uppsala län,Uppsala
0382,Östhammars kommun,Östhammar,03,Uppsala län,Uppsala
0428,Vingåkers kommun,Vingåker,04,Södermanlands län,Södermanland
0461,Gnesta kommun,Gnesta,04,Södermanlands län,Södermanland
0480,Nyköpings kommun,Nyköping,04,Södermanlands län,Södermanland
0481,Oxelösunds kommun,Oxelösund,04,Södermanlands län,Södermanland
0482,Flens kommun,Flen,04,Södermanlands län,Södermanland
0483,Katrineholms kommun,Katrineholm,04,Södermanlands län,Södermanland
0484,Eskilstuna kommun,Eskilstuna,04,Södermanlands län,Södermanland
0486,Strängnäs kommun,Strängnäs,04,Södermanlands län,Södermanland
0488,Trosa kommun,Trosa,04,Södermanlands län,Södermanland
