postal_code,locality,municipality_code,municipality_name
10004,Stockholm,0180,Stockholms kommun
10012,Stockholm,0180,Stockholms kommun
10019,Stockholm,0180,Stockholms kommun
10026,Stockholm,0180,Stockholms kommun
10028,Stockholm,0180,Stockholms kommun
10029,Stockholm,0180,Stockholms kommun
10031,Stockholm,0180,Stockholms kommun
10040,Stockholm,0180,Stockholms kommun
10041,Stockholm,0180,Stockholms kommun
10044,Stockholm,0180,Stockholms kommun
10052,Stockholm,0180,Stockholms kommun
10054,Stockholm,0180,Stockholms kommun
10055,Stockholm,0180,Stockholms kommun
10061,Stockholm,0180,Stockholms kommun
10064,Stockholm,0180,Stockholms kommun
10073,Stockholm,0180,Stockholms kommun
10074,Stockholm,0180,Stockholms kommun
10101,Stockholm,0180,Stockholms kommun
10110,Stockholm,0180,Stockholms kommun
10121,Stockholm,0180,Stockholms kommun
10122,Stockholm,0180,Stockholms kommun
10123,Stockholm,0180,Stockholms kommun
10124,Stockholm,0180,Stockholms kommun
10125,Stockholm,0180,Stockholms kommun
10126,Stockholm,0180,Stockholms kommun
10127,Stockholm,0180,Stockholms kommun
10128,Stockholm,0180,Stockholms kommun
10129,Stockholm,0180,Stockholms kommun
10130,Stockholm,0180,Stockholms kommun
10131,Stockholm,0180,Stockholms kommun
10132,Stockholm,0180,Stockholms kommun
10133,Stockholm,0180,Stockholms kommun
10134,Stockholm,0180,Stockholms kommun
10135,Stockholm,0180,Stockholms kommun
10136,Stockholm,0180,Stockholms kommun
10137,Stockholm,0180,Stockholms kommun
10138,Stockholm,0180,Stockholms kommun
10139,Stockholm,0180,Stockholms kommun
10153,Stockholm,0180,Stockholms kommun
10154,Stockholm,0180,Stockholms kommun
10155,Stockholm,0180,Stockholms kommun
10156,Stockholm,0180,Stockholms kommun
10158,Stockholm,0180,Stockholms kommun
10159,Stockholm,0180,Stockholms kommun
10204,Stockholm,0180,Stockholms kommun
10214,Stockholm,0180,Stockholms kommun
10215,Stockholm,0180,Stockholms kommun
10216,Stockholm,0180,Stockholms kommun
10217,Stockholm,0180,Stockholms kommun
10220,Stockholm,0180,Stockholms kommun
10221,Stockholm,0180,Stockholms kommun
10222,Stockholm,0180,Stockholms kommun
10223,Stockholm,0180,Stockholms kommun
10224,Stockholm,0180,Stockholms kommun
10225,Stockholm,0180,Stockholms kommun
10226,Stockholm,0180,Stockholms kommun
10227,Stockholm,0180,Stockholms kommun
10228,Stockholm,0180,Stockholms kommun
10229,Stockholm,0180,Stockholms kommun
10230,Stockholm,0180,Stockholms kommun
10231,Stockholm,0180,Stockholms kommun
10232,Stockholm,0180,Stockholms kommun
10233,Stockholm,0180,Stockholms kommun
10234,Stockholm,0180,Stockholms kommun
10235,Stockholm,0180,Stockholms kommun
10239,Stockholm,0180,Stockholms kommun
10240,Stockholm,0180,Stockholms kommun
10241,Stockholm,0180,Stockholms kommun
10242,Stockholm,0180,Stockholms kommun
10243,Stockholm,0180,Stockholms kommun
10245,Stockholm,0180,Stockholms kommun
10246,Stockholm,0180,Stockholms kommun
10247,Stockholm,0180,Stockholms kommun
10248,Stockholm,0180,Stockholms kommun
10249,Stockholm,0180,Stockholms kommun
10250,Stockholm,0180,Stockholms kommun
10251,Stockholm,0180,Stockholms kommun
10252,Stockholm,0180,Stockholms kommun
10253,Stockholm,0180,Stockholms kommun
10260,Stockholm,0180,Stockholms kommun
10261,Stockholm,0180,Stockholms kommun
10262,Stockholm,0180,Stockholms kommun
10263,Stockholm,0180,Stockholms kommun
10264,Stockholm,0180,Stockholms kommun
10265,Stockholm,0180,Stockholms kommun
10266,Stockholm,0180,Stockholms kommun
10267,Stockholm,0180,Stockholms kommun
10268,Stockholm,0180,Stockholms kommun
10269,Stockholm,0180,Stockholms kommun
10270,Stockholm,0180,Stockholms kommun
10272,Stockholm,0180,Stockholms kommun
10273,Stockholm,0180,Stockholms kommun
10301,Stockholm,0180,Stockholms kommun
10302,Stockholm,0180,Stockholms kommun
